-9	36	965	0	0	0	0	0	1	-4270	-3290	1960
3	39	998	0	0	0	0	0	1	1050	-4900	-1400
39	25	1035	0	0	0	0	0	1	-840	-2310	210
103	-48	965	0	0	0	0	0	1	-10220	-12740	8890
8	-12	953	0	0	0	0	0	1	-2310	-980	-3010
16	-39	960	0	0	0	0	0	1	-700	4200	-1050
49	-26	1022	0	0	0	0	0	1	840	-5040	-4550
5	-17	989	0	0	0	0	0	1	1680	350	-5110
8	-26	985	0	0	0	0	0	1	4200	-4900	-4270
-4	-24	965	0	0	0	0	0	1	1050	-2520	-1820
26	-44	984	0	0	0	0	0	1	-840	-840	-4200
62	-99	968	0	0	0	0	0	1	-4550	-7000	3500
35	-44	968	0	0	0	0	0	1	4550	-490	-5110
47	30	979	0	0	0	0	0	1	-2310	910	350
81	8	1004	0	0	0	0	0	1	-2660	5810	5670
14	5	987	0	0	0	0	0	1	1820	5110	-1050
32	-35	999	0	0	0	0	0	1	-2170	5180	6510
12	-4	1000	0	0	0	0	0	1	0	1960	9310
-11	-13	994	0	0	0	0	0	1	1190	1330	7210
11	-24	1014	0	0	0	0	0	1	-5110	140	6860
-6	-34	959	0	0	0	0	0	1	-3780	3360	4760
33	-56	1002	0	0	0	0	0	1	2940	-5390	5040
37	-50	966	0	0	0	0	0	1	6650	-1470	-10360
-19	-9	978	0	0	0	0	0	1	-1470	1190	-140
-58	39	989	0	0	0	0	0	1	-910	5950	-3290
12	-36	989	0	0	0	0	0	1	1260	4270	-7140
17	-85	1018	0	0	0	0	0	1	5460	-490	-8680
-46	-113	932	0	0	0	0	0	1	5390	6930	-11060
24	-90	1038	0	0	0	0	0	1	2170	-2170	-5810
19	-54	1040	0	0	0	0	0	1	-5110	-1890	-490
-28	-120	897	0	0	0	0	0	1	-12250	-13230	-9100
25	-98	918	0	0	0	0	0	1	-1610	14560	-7700
46	-149	941	0	0	0	0	0	1	6930	9870	7070
-48	-27	984	0	0	0	0	0	1	7000	1960	9730
-46	-47	999	0	0	0	0	0	1	-1610	-5530	15680
-70	51	988	0	0	0	0	0	1	-3010	-3780	19530
-25	29	992	0	0	0	0	0	1	1750	4900	5810
-61	8	972	0	0	0	0	0	1	-5460	-210	7910
-85	15	987	0	0	0	0	0	1	2520	-5250	-7770
-71	-7	976	0	0	0	0	0	1	-840	5740	-1960
